time(us),speed(um/sec),reference current(mA),current(mA)
2290944,56214,246,208
2293760,44730,328,182
2296640,56214,246,286
2299520,62460,199,286
2302400,49968,286,286
2305216,44730,324,260
2308096,56214,242,338
2310976,49968,286,256
2313792,44730,324,260
2316672,43722,333,312
2319552,56214,244,338
2322368,57510,233,234
2325248,43722,331,234
2328128,43722,332,338
2330944,44730,327,234
2333824,43722,336,364
2336704,43722,337,338
2339520,51120,285,312
2342400,49968,293,286
2345280,37476,384,260
2348160,43722,342,390
2350976,51120,290,364
2353856,49968,298,338
2356736,43722,343,312
2359552,57510,245,286
2362432,56214,252,208
2365312,43722,342,0
2368000,46872,320,286
2370816,63900,197,234
2373696,56214,250,286
2376576,43722,339,286
2379456,43722,340,390
2382272,63900,195,338
2385152,56214,248,234
2388032,43722,337,286
2390848,51120,285,338
2393728,62460,202,286
2396608,49968,289,260
2399488,43722,335,208
2402304,51120,283,364
2405184,62460,200,312
2408064,43722,333,208
2410880,44730,327,338
2413760,56214,245,338
2416640,56214,243,286
2419520,37476,378,260
2422336,51120,282,338
2425216,49968,290,286
2428096,49968,290,260
2430912,38340,375,286
2433792,49968,293,364
2436608,57510,239,312
2439488,37476,382,234
2442368,43722,340,312
2445248,56214,251,312
2448064,57510,240,312
2450944,43722,338,286
2453824,43722,340,338
2456640,51120,288,338
2459520,49968,296,260
2462400,43722,341,234
2465216,57510,243,286
2468096,49968,296,234
2470976,49968,296,286
2473792,44730,334,234
2476672,62460,206,286
2479552,62460,203,286
2482432,43722,336,182
2485248,44730,330,260
2488128,56214,248,364
2491008,49968,292,312
2493824,44730,330,260
2496704,49968,293,364
2499584,49968,293,234
2502400,38340,378,312
2505280,37476,387,390
2508160,49968,300,364
2510976,51120,291,338
2513856,37476,390,260
2516736,43722,348,338
2519552,57510,250,364
2522432,43722,348,312
2525312,37476,395,364
2528128,57510,253,364
2531008,56214,260,286
2533888,43722,349,312
2536768,31230,442,338
2539584,51120,302,416
2542464,49968,310,312
2545344,43722,356,338
2548160,57510,257,364
2551040,56214,265,286
2553920,43722,354,260
2556736,38340,394,286
2559616,49968,313,338
2562496,56214,268,390
2565312,51120,303,286
2568192,49968,311,312
2571072,49968,311,256
2573952,49968,311,286
2576768,51120,303,338
2579648,49968,311,312
2582528,62460,220,338
2585344,63900,206,260
2588224,43722,349,182
2591104,49968,305,312
2593920,57510,251,286
2596800,56214,258,312
2599680,49968,302,312
2602496,51120,293,286
2605376,49968,302,260
2608256,43722,347,286
2611136,43722,349,338
2613952,57510,250,286
2616832,49968,303,260
2619712,37476,394,312
2622528,44730,344,390
2625408,62460,217,390
2628288,49968,304,260
2631104,38340,389,338
